2024-05-08 13:38:11.271441,dwm.exe,414,6e8,4,cc8,0,49cf1fc678,1
2024-05-08 13:38:11.302774,explorer.exe,1670,1718,103f,ffffffff8a010c2f,7,31eeba0,8a
2024-05-08 13:38:11.333992,dwm.exe,414,6e8,4,ccc,0,49cf1fc678,49cf1fc900
2024-05-08 13:38:11.365302,explorer.exe,1670,1718,102b,ffffffff8a010c2f,9040c9d,1,0
2024-05-08 13:38:11.396374,explorer.exe,1670,1718,1020,ffffffff8a010c2f,f8,0,128
2024-05-08 13:38:11.427705,explorer.exe,1670,11cc,121,52cd668,20019,52cd688,0
2024-05-08 13:38:11.459091,explorer.exe,1670,1f78,1007,40366,4e,a005,2f6e820
2024-05-08 13:38:11.490021,explorer.exe,1670,1718,100e,10110,a915,0,31ee6f0
2024-05-08 13:38:11.521320,explorer.exe,1670,1718,1046,10110,a915,31ee818,0
2024-05-08 13:38:11.552532,explorer.exe,1670,1718,102e,5e010cbb,1f040b22,5,b22
2024-05-08 13:38:11.583979,explorer.exe,1670,1718,100e,10112,a915,0,31eec70
2024-05-08 13:38:11.615315,explorer.exe,1670,1718,102b,fffffffffb010c23,23040c9d,1,0
2024-05-08 13:38:11.646485,explorer.exe,1670,1718,104c,100a6,a915,1,0
2024-05-08 13:38:11.677772,explorer.exe,1670,1718,1038,fffffffffb010c23,0,0,12
2024-05-08 13:38:11.709007,explorer.exe,1670,1718,100e,100a6,a915,0,31ee060
2024-05-08 13:38:11.740249,dwm.exe,414,6e8,1133,49cf1ff5f0,49cf1ff5e8,49cf1ff600,49cf1ff5f8
2024-05-08 13:38:11.771447,dwm.exe,414,6e8,12dd,4120680,4,49cf1ff230,49cf1ff288
2024-05-08 13:38:11.802795,dwm.exe,414,6e8,1040,ffffffffad040c88,0,0,0
2024-05-08 13:38:11.833834,dwm.exe,414,6e8,1040,ffffffffad040c88,30,191a7eea9e0,0
2024-05-08 13:38:11.865186,dwm.exe,414,6e8,1023,ffffffffad040c88,49cefc5000,1,c88
2024-05-08 13:38:11.896446,explorer.exe,1670,1718,1054,6b010cbb,7ffb64b255f0,0,0
2024-05-08 13:38:11.927761,explorer.exe,1670,1718,100b,7f010d01,ffffffffea050c95,2703,7f
2024-05-08 13:38:11.958829,explorer.exe,1670,1718,102e,7f010d01,0,5,0
2024-05-08 13:38:11.990142,explorer.exe,1670,1718,1043,7f010d01,31ee330,0,31ee0f0
2024-05-08 13:38:12.021383,explorer.exe,1670,1718,100e,100a6,a915,0,31ee060
2024-05-08 13:38:12.052726,explorer.exe,1670,1718,102b,7f010d01,39040b22,1,0
2024-05-08 13:38:12.083912,explorer.exe,1670,1718,104c,100a6,a915,1,0
2024-05-08 13:38:12.115160,explorer.exe,1670,1718,1038,7f010d01,0,0,12
2024-05-08 13:38:12.146299,explorer.exe,1670,1718,100e,100a6,a915,0,31ee060
2024-05-08 13:38:12.177551,explorer.exe,1670,1718,1046,100a6,a915,31ee188,0
2024-05-08 13:38:12.208790,explorer.exe,1670,1718,102e,7f010d01,0,5,0
2024-05-08 13:38:12.240151,explorer.exe,1670,1718,102b,7f010d01,3a040b22,1,0
