2024-05-03 15:30:39.811293,hyperdbg-cli.e,12b8,23a4,8,58,0,0,0
2024-05-03 15:30:39.811389,conhost.exe,1a44,d60,100b,33010aa4,85000f,1fec,33
2024-05-03 15:30:39.849581,conhost.exe,1a44,d60,1023,12050a9e,12,1,a9e
2024-05-03 15:30:39.880766,conhost.exe,1a44,694,7,4,0,0,0
2024-05-03 15:30:39.912230,conhost.exe,1a44,d60,1023,33010aa4,1f8361c09a0,aa4,aa4
2024-05-03 15:30:39.943723,hyperdbg-cli.e,12b8,828,3c,ffffffffffffffff,fffffffffffffffe,ffffffffffffffff,1588a098f20
2024-05-03 15:30:39.974993,conhost.exe,1a44,694,1d2,7ff7205934e0,0,0,0
2024-05-03 15:30:40.006207,hyperdbg-cli.e,12b8,828,48,38c22ff730,1f0003,0,0
2024-05-03 15:30:40.037374,conhost.exe,1a44,d60,14ac,1b010979,1f8361c0580,979,1f8363f0000
2024-05-03 15:30:40.068518,hyperdbg-cli.e,12b8,828,7,574,57c,0,0
2024-05-03 15:30:40.099745,conhost.exe,1a44,d60,1030,902f8,0,df80b7f990,0
2024-05-03 15:30:40.130913,conhost.exe,1a44,d60,104e,902f8,0,1f836594df4,df80b7f8a0
2024-05-03 15:30:40.162335,hyperdbg-cli.e,12b8,828,34,0,38c22ff8d0,38c1ded000,100
2024-05-03 15:30:40.193705,conhost.exe,1a44,d60,100e,902f8,c01b,0,df80b7f5c0
2024-05-03 15:30:40.224761,conhost.exe,1a44,d60,1090,902f8,fffffffa,df80b7f768,df80b7f740
2024-05-03 15:30:40.256145,conhost.exe,1a44,d60,100e,902f8,c01b,0,df80b7f570
2024-05-03 15:30:40.287225,conhost.exe,1a44,d60,1063,902f8,0,df80b7f698,df80b7f7f0
2024-05-03 15:30:40.318595,conhost.exe,1a44,d60,100e,902f8,c01b,0,df80b7f570
2024-05-03 15:30:40.349698,conhost.exe,1a44,d60,14ac,1b010979,1f8361c09a0,979,1f8363f0000
2024-05-03 15:30:40.380993,conhost.exe,1a44,d60,70,694,df80bff5f2,df80bff5f0,df80bff5f0
2024-05-03 15:30:40.412379,conhost.exe,1a44,d60,1006,df80b7fe40,0,0,0
2024-05-03 15:30:40.443316,conhost.exe,1a44,694,e,1a4,0,ffffffff,df80bfea70
2024-05-03 15:30:40.474677,conhost.exe,1a44,694,100f,902f8,404,1f835f37700,0
2024-05-03 15:30:40.506152,conhost.exe,1a44,694,7,4,0,0,0
2024-05-03 15:30:40.537216,conhost.exe,1a44,694,4,4,0,0,4
2024-05-03 15:30:40.568313,conhost.exe,1a44,d60,10af,902f8,3,0,1f835f37700
2024-05-03 15:30:40.599376,conhost.exe,1a44,d60,1030,902f8,1,df80b7f990,0
2024-05-03 15:30:40.630781,conhost.exe,1a44,d60,104e,902f8,1,1f836594e04,df80b7f8a0
2024-05-03 15:30:40.662171,hyperdbg-cli.e,12b8,23a4,8,58,0,0,0
2024-05-03 15:30:40.693121,conhost.exe,1a44,d60,100e,902f8,c01b,0,df80b7f5c0
2024-05-03 15:30:40.724513,conhost.exe,1a44,d60,1524,902f8,fffffff0,14cf0000,0
2024-05-03 15:30:40.755768,conhost.exe,1a44,694,7,4,0,0,0
2024-05-03 15:30:40.787018,conhost.exe,1a44,d60,5,df80b7f5f0,18,0,df80b7f690
2024-05-03 15:30:40.818251,conhost.exe,1a44,694,1d2,7ff7205934e0,0,0,0
2024-05-03 15:30:40.849378,conhost.exe,1a44,d60,100e,902f8,a91f,0,0
2024-05-03 15:30:40.880928,conhost.exe,1a44,d60,146e,902f8,0,df80b7eb18,df80b7ec20
2024-05-03 15:30:40.912099,conhost.exe,1a44,d60,146c,902f8,0,df80b7eb18,df80b7ec20
2024-05-03 15:30:40.943387,conhost.exe,1a44,d60,1469,902f8,0,df80b7eb18,df80b7ec20
2024-05-03 15:30:40.974590,dwm.exe,420,6d8,b,238,c0e7bdf918,0,230e34f8c08
2024-05-03 15:30:41.005674,conhost.exe,1a44,d60,1445,902f8,df80b7ef30,1,1
2024-05-03 15:30:41.037006,conhost.exe,1a44,d60,100e,902f8,a914,df80b7eb18,df80b7ec20
2024-05-03 15:30:41.068038,dwm.exe,420,6d8,17,d14,c0e7bdf2e8,2,c0e7bdf1a0
2024-05-03 15:30:41.099431,OneDrive.exe,1fe8,1c28,4,ae0,0,844d7ff858,844d7ff9d0
2024-05-03 15:30:41.130663,MOM.exe,1cb8,15dc,34,1,e4572fed10,0,e4566c1290
2024-05-03 15:30:41.162119,hyperdbg-cli.e,12b8,828,4,a0,0,0,a0
2024-05-03 15:30:41.193264,hyperdbg-cli.e,12b8,828,7,574,57c,0,0
2024-05-03 15:30:41.224362,hyperdbg-cli.e,12b8,828,34,0,38c22ff8d0,38c1ded000,100
2024-05-03 15:30:41.255458,OneDrive.exe,1fe8,1c28,4,ae0,0,844d7ff858,844d7ff9d0
2024-05-03 15:30:41.286891,MOM.exe,1cb8,15dc,1486,0,0,64,10ff
2024-05-03 15:30:41.318145,hyperdbg-cli.e,12b8,828,7,a0,0,0,0
2024-05-03 15:30:41.349204,OneDrive.exe,1fe8,1c28,4,ae0,0,844d7ff858,844d7ff9d0
2024-05-03 15:30:41.380488,hyperdbg-cli.e,12b8,828,4,a0,0,0,a0
2024-05-03 15:30:41.411866,hyperdbg-cli.e,12b8,828,7,574,57c,0,0
