2024-05-20 21:28:10.046229,conhost.exe,15f4,898,18,ffffffffffffffff,d666ffe3c0,0,d666ffe468
2024-05-20 21:28:10.077516,RuntimeBroker.,138c,1c84,5b,1,1ba9b5f7420,1,0
2024-05-20 21:28:10.108801,conhost.exe,15f4,162c,100e,5039e,a91f,0,0
2024-05-20 21:28:10.140011,ctfmon.exe,1250,14b8,f,6d4,ffffffffffffffff,0,0
2024-05-20 21:28:10.171282,powershell.exe,1358,c30,49,5c,3e7707e0a0,3e7707e0c0,8
2024-05-20 21:28:10.202651,powershell.exe,1358,c30,1c,ffffffffffffffff,c,3e7707ca50,4
2024-05-20 21:28:10.233798,powershell.exe,1358,11f0,f,50c,ffffffffffffffff,0,0
2024-05-20 21:28:10.265040,powershell.exe,1358,c30,3f,4b0,1d75220d5a0,3e7707d520,88
2024-05-20 21:28:10.296246,powershell.exe,1358,c30,f,6f4,ffffffffffffffff,0,0
2024-05-20 21:28:10.327552,powershell.exe,1358,1508,34,0,3e779ff330,3e76eaa000,0
2024-05-20 21:28:10.358767,powershell.exe,1358,1464,34,0,3e7767f9c0,3e76e9c000,0
2024-05-20 21:28:10.390043,explorer.exe,1684,1770,1042,42,10,342e600,0
2024-05-20 21:28:10.421325,powershell.exe,1358,11f0,34,0,3e774ff750,3e76e94000,0
2024-05-20 21:28:10.452600,powershell.exe,1358,2700,28,868,ffffffffffffffff,3e7840bd48,0
2024-05-20 21:28:10.483813,powershell.exe,1358,2700,121,3e78407008,20119,3e78407028,0
2024-05-20 21:28:10.515077,powershell.exe,1358,1464,34,0,3e7767f9c0,3e76e9c000,0
2024-05-20 21:28:10.546345,powershell.exe,1358,1cb8,34,0,3e7757fa00,3e76e98000,0
2024-05-20 21:28:10.577610,dwm.exe,440,6e4,25,fffffffffffffffe,17,bdbd0ff5e0,10
2024-05-20 21:28:10.609100,dwm.exe,440,6e4,1b1,254,0,bdbd0ff540,30
2024-05-20 21:28:10.640127,powershell.exe,1358,2700,11,838,3e7840c708,3e7840c700,8
2024-05-20 21:28:10.671375,powershell.exe,1358,2700,27,838,3e7840c708,3e7840c700,8
2024-05-20 21:28:10.702662,dwm.exe,440,6e4,25,fffffffffffffffe,17,bdbd0ffb10,10
2024-05-20 21:28:10.733856,dwm.exe,440,6e4,11e8,bdbd0ff738,bdbd0ff948,bdbd0ff908,0
2024-05-20 21:28:10.765151,dwm.exe,440,6e4,113d,4,bdbd0ff898,bdbd0ff918,28b16
2024-05-20 21:28:10.796376,powershell.exe,1358,2700,16,3a8,7,3e7840a808,4
2024-05-20 21:28:10.827658,powershell.exe,1358,2700,d,fffffffffffffffe,5,3e7840b380,8
2024-05-20 21:28:10.858872,powershell.exe,1358,2700,f,854,ffffffffffffffff,0,0
2024-05-20 21:28:10.890159,powershell.exe,1358,1fd4,34,0,3e775ffa50,3e76e9a000,0
2024-05-20 21:28:10.921409,powershell.exe,1358,2700,42,870,4,3e7840b2e0,0
2024-05-20 21:28:10.952633,powershell.exe,1358,2700,17,860,3e7840b2c0,2,3e7840b180
2024-05-20 21:28:10.983884,powershell.exe,1358,1464,34,0,3e7767f9c0,3e76e9c000,0
2024-05-20 21:28:11.015172,powershell.exe,1358,1464,34,0,3e7767f9c0,3e76e9c000,0
2024-05-20 21:28:11.046413,powershell.exe,1358,1464,34,0,3e7767f9c0,3e76e9c000,0
2024-05-20 21:28:11.077629,powershell.exe,1358,2700,18,ffffffffffffffff,3e7840b690,0,3e7840b698
2024-05-20 21:28:11.108903,powershell.exe,1358,259c,34,0,3e7797f580,3e76ea8000,0
2024-05-20 21:28:11.140187,powershell.exe,1358,161c,8c,8a0,20000,1d76c4c3040,1d76c59c1c8
2024-05-20 21:28:11.171529,svchost.exe,a8c,e10,17,7c4,5887afc8a8,2,5887afc760
2024-05-20 21:28:11.202715,WmiPrvSE.exe,3a0,a94,50,ffffffffffffffff,136e22600c8,136e22600d0,2
2024-05-20 21:28:11.233941,WmiPrvSE.exe,3a0,24b0,4,1f0,0,cd91fcd88,0
2024-05-20 21:28:11.265218,WmiPrvSE.exe,3a0,24b0,50,ffffffffffffffff,cd91faf08,cd91faf00,2
2024-05-20 21:28:11.296438,WmiPrvSE.exe,3a0,24b0,21,2cc,6,0,0
2024-05-20 21:28:11.327710,WmiPrvSE.exe,3a0,24b0,24,fffffffffffffffe,c,1,cd91fc690
2024-05-20 21:28:11.358936,MsMpEng.exe,ed4,15c0,23,380,7ff5cbb2d000,0,111ca7d6e8
2024-05-20 21:28:11.390250,MsMpEng.exe,ed4,15c0,23,97c,1e1d1a9b000,0,111ca7d6e8
2024-05-20 21:28:11.421431,MsMpEng.exe,ed4,15c0,25,fffffffffffffffe,19,111ca7d6c4,4
2024-05-20 21:28:11.452666,MsMpEng.exe,ed4,15c0,23,ad4,7ffd36171000,2,111ca7d360
2024-05-20 21:28:11.483943,MsMpEng.exe,ed4,15c0,23,b00,1e67a350000,0,111ca7d6e8
2024-05-20 21:28:11.515230,MsMpEng.exe,ed4,15c0,23,b10,292041bc000,0,111ca7d6e8
2024-05-20 21:28:11.546427,MsMpEng.exe,ed4,15c0,23,b3c,7ffd3ece7000,0,111ca7d6e8
2024-05-20 21:28:11.577677,MsMpEng.exe,ed4,15c0,23,b54,29371582000,0,111ca7d6e8
2024-05-20 21:28:11.608938,MsMpEng.exe,ed4,15c0,23,b6c,27b575d9000,0,111ca7d6e8
2024-05-20 21:28:11.640218,MsMpEng.exe,ed4,15c0,23,b94,1d109234000,0,111ca7d6e8
2024-05-20 21:28:11.671479,MsMpEng.exe,ed4,15c0,23,bac,7ff5708d1000,0,111ca7d6e8
2024-05-20 21:28:11.702696,MsMpEng.exe,ed4,15c0,23,bd4,7ff6313dc000,2,111ca7d360
2024-05-20 21:28:11.734017,MsMpEng.exe,ed4,15c0,23,bec,1d471eb9000,0,111ca7d6e8
2024-05-20 21:28:11.765234,MsMpEng.exe,ed4,15c0,23,990,7df53c710000,0,111ca7d6e8
2024-05-20 21:28:11.796477,MsMpEng.exe,ed4,15c0,23,c04,78219f9000,0,111ca7d6e8
2024-05-20 21:28:11.827789,MsMpEng.exe,ed4,15c0,23,c1c,7ffd40e23000,0,111ca7d6e8
2024-05-20 21:28:11.859005,MsMpEng.exe,ed4,15c0,23,c38,7ffce1b90000,2,111ca7d360
2024-05-20 21:28:11.890251,MsMpEng.exe,ed4,15c0,d,fffffffffffffffe,19,111ca79560,4
2024-05-20 21:28:11.921529,MsMpEng.exe,ed4,15c0,3f,c3c,7ff66ae28000,2030c213010,1000
2024-05-20 21:28:11.952805,MsMpEng.exe,ed4,15c0,12e,111ca787c8,80000000,111ca78740,0
2024-05-20 21:28:11.984091,MsMpEng.exe,ed4,15c0,12e,111ca787c8,80000000,111ca78740,0
2024-05-20 21:28:12.015227,MsMpEng.exe,ed4,15c0,12e,111ca787c8,80000000,111ca78740,0
2024-05-20 21:28:12.046636,MsMpEng.exe,ed4,15c0,3f,c3c,20052d96080,111ca7cc50,88
2024-05-20 21:28:12.077825,powershell.exe,1358,2700,5b,1,1d76c298260,1,2
2024-05-20 21:28:12.109034,conhost.exe,15f4,27b4,12f4,1401081c,206c1db68b0,1,0
2024-05-20 21:28:12.140350,MsMpEng.exe,ed4,15c0,18,ffffffffffffffff,111ca79600,0,111ca795f0
2024-05-20 21:28:12.171612,MsMpEng.exe,ed4,15c0,5b,1,111ca7cb40,1,0
2024-05-20 21:28:12.202819,MsMpEng.exe,ed4,15c0,20,898,0,100,60
2024-05-20 21:28:12.234078,MsMpEng.exe,ed4,15c0,3f,c3c,13d59203f10,111ca7ccc0,88
2024-05-20 21:28:12.265307,conhost.exe,15f4,898,4,4,0,0,4
2024-05-20 21:28:12.296579,conhost.exe,15f4,898,7,4,0,0,0
2024-05-20 21:28:12.327878,MsMpEng.exe,ed4,15c0,39,c3c,0,0,0
2024-05-20 21:28:12.359078,MsMpEng.exe,ed4,15c0,11,c3c,111ca7cbc0,111ca7cc10,18
2024-05-20 21:28:12.390389,MsMpEng.exe,ed4,15c0,12e,111ca7cd28,80000000,111ca7cca0,0
2024-05-20 21:28:12.421632,MsMpEng.exe,ed4,15c0,19,c3c,4,111ca7cd90,20
2024-05-20 21:28:12.452888,MsMpEng.exe,ed4,15c0,19,c3c,0,111ca7cc20,30
2024-05-20 21:28:12.484105,MsMpEng.exe,ed4,15c0,5b,1,111ca79500,1,0
2024-05-20 21:28:12.515375,MsMpEng.exe,ed4,15c0,20,898,0,100,60
2024-05-20 21:28:12.546658,MsMpEng.exe,ed4,15c0,5b,1,111ca79480,1,0
2024-05-20 21:28:12.577889,MsMpEng.exe,ed4,15c0,f,c44,ffffffffffffffff,0,0
2024-05-20 21:28:12.609142,MsMpEng.exe,ed4,15c0,55,111ca785b8,80100080,111ca785f0,111ca785e0
2024-05-20 21:28:12.640422,MsMpEng.exe,ed4,15c0,3f,c3c,c2b6219018,111ca7cc18,8
2024-05-20 21:28:12.671615,powershell.exe,1358,2700,7,48,0,0,0
2024-05-20 21:28:12.702929,MOM.exe,2370,2238,34,1,dfe08fed80,0,dfdfdcb290
2024-05-20 21:28:12.734206,OneDrive.exe,1d24,203c,4,b40,0,7c5a7ffc08,7c5a7ffd80
2024-05-20 21:28:12.765391,MsMpEng.exe,ed4,15c0,49,c3c,111ca7cca8,111ca7cd30,18
2024-05-20 21:28:12.796685,MsMpEng.exe,ed4,15c0,11,c3c,111ca7cca8,111ca7ccc0,68
2024-05-20 21:28:12.827934,MsMpEng.exe,ed4,15c0,3f,c3c,28171265b70,111ca7cc50,88
2024-05-20 21:28:12.859182,MsMpEng.exe,ed4,15c0,25,fffffffffffffffe,19,111ca7988c,4
2024-05-20 21:28:12.890416,conhost.exe,15f4,898,7,4,0,0,0
2024-05-20 21:28:12.921685,MsMpEng.exe,ed4,15c0,3f,c3c,205f72b3810,111ca7cc50,88
2024-05-20 21:28:12.952938,hyperdbg-cli.e,1e24,27dc,7,208,0,0,0
2024-05-20 21:28:12.984191,hyperdbg-cli.e,1e24,27dc,4,208,0,0,208
2024-05-20 21:28:13.015434,MsMpEng.exe,ed4,15c0,5b,3,111ca79380,1,0
2024-05-20 21:28:13.046696,MsMpEng.exe,ed4,15c0,5b,1,111ca790e0,1,0
2024-05-20 21:28:13.077949,MsMpEng.exe,ed4,15c0,5b,1,111ca790e0,1,0
2024-05-20 21:28:13.109208,MsMpEng.exe,ed4,15c0,20,898,0,100,60
2024-05-20 21:28:13.140493,MsMpEng.exe,ed4,15c0,25,fffffffffffffffe,19,111ca793bc,4
2024-05-20 21:28:13.171772,MsMpEng.exe,ed4,15c0,50,ffffffffffffffff,111ca7c3f8,111ca7c3f0,20
2024-05-20 21:28:13.202980,MsMpEng.exe,ed4,15c0,25,fffffffffffffffe,19,111ca7cdec,4
2024-05-20 21:28:13.234222,MsMpEng.exe,ed4,15c0,3f,c3c,e9fde0,111ca7cc50,88
2024-05-20 21:28:13.265514,MsMpEng.exe,ed4,15c0,3f,c3c,ea0af0,111ca7cc50,88
2024-05-20 21:28:13.296726,conhost.exe,15f4,898,4,4,0,0,4
2024-05-20 21:28:13.327997,powershell.exe,1358,2700,7,48,0,0,0
2024-05-20 21:28:13.359266,MsMpEng.exe,ed4,af4,16,c68,7,111c71c5e8,4
2024-05-20 21:28:13.390521,MsMpEng.exe,ed4,1c30,24,fffffffffffffffe,c,1,111cefe280
2024-05-20 21:28:13.421778,MsMpEng.exe,ed4,15c0,12e,111ca787c8,80000000,111ca78740,0
2024-05-20 21:28:13.452994,MsMpEng.exe,ed4,15c0,12e,111ca787c8,80000000,111ca78740,0
2024-05-20 21:28:13.484213,conhost.exe,15f4,898,4,4,0,0,4
2024-05-20 21:28:13.515530,conhost.exe,15f4,898,4,4,0,0,4
2024-05-20 21:28:13.546751,MsMpEng.exe,ed4,15c0,3f,c3c,7ff7b6c66000,2030c1e1010,2000
