2024-06-12 19:35:35.446371,conhost.exe,266c,2690,1030,40374,0,8c26aff810,0
2024-06-12 19:35:35.446560,hyperdbg-cli.e,26a4,26a8,8,54,0,0,0
2024-06-12 19:35:35.466774,conhost.exe,266c,2690,104e,40374,0,1aee8fc4ce4,8c26aff720
2024-06-12 19:35:35.497974,services.exe,2d8,4c4,1d5,14,1edf806d040,10,5aee7f728
2024-06-12 19:35:35.529206,dwm.exe,408,6e0,61,278,0,0,0
2024-06-12 19:35:35.560437,dwm.exe,408,6e0,25,fffffffffffffffe,17,9ad977fb60,10
2024-06-12 19:35:35.591703,svchost.exe,3a8,1718,8c,e8,20000,1f618ac6760,1f619aff868
2024-06-12 19:35:35.623034,dwm.exe,408,6e0,172,45c,9ad977f890,1,9ad977f880
2024-06-12 19:35:35.654297,services.exe,2d8,4c4,89,150,0,5aee7f4d8,10
2024-06-12 19:35:35.685527,dwm.exe,408,6e0,5b,5,26a82f4f3d0,1,0
2024-06-12 19:35:35.716746,services.exe,2d8,4c4,8c,150,0,0,0
2024-06-12 19:35:35.747969,services.exe,2d8,4c4,1a1,14,9,5aee7f3e8,4
2024-06-12 19:35:35.779246,services.exe,2d8,4c4,d,fffffffffffffffe,2c,1edf7ce4cc8,8
2024-06-12 19:35:35.810435,services.exe,2d8,4c4,12,5aee7eb28,20019,5aee7eb70,1edf8244790
2024-06-12 19:35:35.841685,services.exe,2d8,4c4,17,73c,5aee7e930,2,1edf812c580
2024-06-12 19:35:35.872918,services.exe,2d8,4c4,12,5aee7e940,20019,5aee7e9a8,5aee7eb50
2024-06-12 19:35:35.904153,services.exe,2d8,4c4,17,6e4,5aee7e9e8,2,1edf8061610
2024-06-12 19:35:35.935575,dwm.exe,408,6e0,4,300,0,9ad977fb48,9ad977fc19
2024-06-12 19:35:35.966709,dwm.exe,408,6e0,4,280,0,9ad977fb48,9ad977fc19
2024-06-12 19:35:35.997910,dwm.exe,408,6e0,4,454,0,9ad977fb48,9ad977fc19
2024-06-12 19:35:36.029158,dwm.exe,408,6e0,124a,9ad977fb10,26a87af2a10,0,26a87c5a3c0
2024-06-12 19:35:36.060357,dwm.exe,408,6e0,5b,2,9ad977fc18,1,0
2024-06-12 19:35:36.091627,hyperdbg-cli.e,26a4,26c8,7,1f8,0,0,0
2024-06-12 19:35:36.122871,OneDrive.exe,1ed4,2014,4,b74,0,964f6ff7b8,964f6ff930
2024-06-12 19:35:36.154250,hyperdbg-cli.e,26a4,26c8,4,1f8,0,0,1f8
2024-06-12 19:35:36.185407,hyperdbg-cli.e,26a4,26c8,7,5c0,5cc,0,0
2024-06-12 19:35:36.216589,hyperdbg-cli.e,26a4,26c8,34,0,1552aff720,1552424000,100
2024-06-12 19:35:36.247801,dwm.exe,408,6e0,25,fffffffffffffffe,17,9ad977fc50,10
2024-06-12 19:35:36.279059,dwm.exe,408,6e0,11e8,9ad977f878,9ad977fa88,9ad977fa48,0
2024-06-12 19:35:36.310273,dwm.exe,408,6e0,1b1,278,0,9ad977f900,30
2024-06-12 19:35:36.341546,dwm.exe,408,6e0,111e,4,9ad977f890,9ad977f7c8,473a76
2024-06-12 19:35:36.372769,dwm.exe,408,6e0,1131,4,9ad977f760,9ad977f768,9ad977fd80
2024-06-12 19:35:36.403942,dwm.exe,408,6e0,172,45c,9ad977f3b0,1,9ad977f3a0
2024-06-12 19:35:36.435271,dwm.exe,408,6e0,5b,1,26a82f4f3d0,1,0
2024-06-12 19:35:36.466488,dwm.exe,408,6e0,172,45c,9ad977f3b0,1,9ad977f3a0
2024-06-12 19:35:36.497716,dwm.exe,408,6e0,25,fffffffffffffffe,17,9ad977f720,10
2024-06-12 19:35:36.528956,dwm.exe,408,6e0,1133,9ad977f6b0,9ad977f6a8,9ad977f6c0,9ad977f6b8
2024-06-12 19:35:36.560175,dwm.exe,408,6e0,1135,9ad977f6b0,9ad977f6b8,9ad977f6c4,26a8b9e2eb8
2024-06-12 19:35:36.591429,dwm.exe,408,6e0,25,fffffffffffffffe,17,9ad977f720,10
2024-06-12 19:35:36.622669,dwm.exe,408,6e0,11e8,9ad977ec98,26a87af58d0,7ffc39570f98,9ad977ead0
2024-06-12 19:35:36.653882,dwm.exe,408,6e0,11b1,9ad977ebf8,26a87af2a10,9ad977eb68,9ad977ec70
2024-06-12 19:35:36.685145,dwm.exe,408,6e0,11b7,9ad977ec18,26a87af2a10,0,9ad977ec70
