2024-04-21 17:49:55.618290,MsMpEng.exe,ddc,1ac,5b,3,68a91f9c50,1,0
2024-04-21 17:49:55.649543,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcd80,20
2024-04-21 17:49:55.680782,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcdf0,20
2024-04-21 17:49:55.712024,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcdd0,20
2024-04-21 17:49:55.743283,MsMpEng.exe,ddc,1ac,5b,1,68a91f9d50,1,0
2024-04-21 17:49:55.774507,MsMpEng.exe,ddc,1ac,20,cb4,0,100,80
2024-04-21 17:49:55.805762,MsMpEng.exe,ddc,1ac,5b,3,68a91f9c50,1,0
2024-04-21 17:49:55.837001,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcd80,20
2024-04-21 17:49:55.868228,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcdf0,20
2024-04-21 17:49:55.899448,MsMpEng.exe,ddc,1ac,5b,1,68a91f9d50,1,0
2024-04-21 17:49:55.930704,MsMpEng.exe,ddc,1ac,20,cb4,0,100,60
2024-04-21 17:49:55.961957,MsMpEng.exe,ddc,1ac,5b,3,68a91f9c50,1,0
2024-04-21 17:49:55.993231,explorer.exe,15a0,1678,19a,32a4,5,342c590,4
2024-04-21 17:49:56.024467,explorer.exe,15a0,1678,24,fffffffffffffffe,c,1,342cbe0
2024-04-21 17:49:56.055689,explorer.exe,15a0,16c4,19,ffffffffffffffff,34,c68eba0,8
2024-04-21 17:49:56.086937,dwm.exe,418,6bc,5b,2,1b8cd9fc48,1,0
2024-04-21 17:49:56.118187,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcdf0,20
2024-04-21 17:49:56.149407,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcdd0,20
2024-04-21 17:49:56.180666,MsMpEng.exe,ddc,1ac,50,ffffffffffffffff,68a91fc2d8,68a91fc2d0,4
2024-04-21 17:49:56.211913,dwm.exe,418,6bc,25,fffffffffffffffe,17,1b8cd9f750,10
2024-04-21 17:49:56.243137,dwm.exe,418,6bc,1133,1b8cd9f6e0,1b8cd9f6d8,1b8cd9f6f0,1b8cd9f6e8
2024-04-21 17:49:56.274458,dwm.exe,418,6bc,1135,1b8cd9f6e0,1b8cd9f6e8,1b8cd9f6f4,1b8cd9fdb0
2024-04-21 17:49:56.305612,MsMpEng.exe,ddc,1ac,50,ffffffffffffffff,68a91fc2d8,68a91fc2d0,20
2024-04-21 17:49:56.336872,MsMpEng.exe,ddc,1ac,5b,1,68a91fca30,1,0
2024-04-21 17:49:56.368109,MsMpEng.exe,ddc,1ac,20,cb4,0,100,40
2024-04-21 17:49:56.399352,MsMpEng.exe,ddc,1ac,5b,3,68a91fc930,1,0
2024-04-21 17:49:56.430680,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcdc0,20
2024-04-21 17:49:56.461845,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91f9bf0,20
2024-04-21 17:49:56.493074,explorer.exe,15a0,16c4,10aa,a048a,2,0,0
2024-04-21 17:49:56.524340,dwm.exe,418,6bc,1254,1b8cd9f6c0,7ffed6f9a860,1b8cd9f6c0,157ac
