2024-04-18 08:26:58.615653,explorer.exe,1588,22f8,19,ffffffffffffffff,34,b80eeb0,8
2024-04-18 08:26:58.646908,explorer.exe,1588,22f8,10aa,e0566,2,1,0
2024-04-18 08:26:58.678261,explorer.exe,1588,22f8,100e,120520,a91c,0,b80ed40
2024-04-18 08:26:58.709193,dwm.exe,418,6d0,112f,4,2,cbe37af280,cbe37af310
2024-04-18 08:26:58.740373,explorer.exe,1588,22f8,5,b80c930,18,0,0
2024-04-18 08:26:58.771633,svchost.exe,ea4,c9c,1cc,4c4,601a6fcd20,601a6fccd8,601a6fccd0
2024-04-18 08:26:58.802903,ctfmon.exe,10fc,12e0,f,6c8,ffffffffffffffff,0,0
2024-04-18 08:26:58.834120,ctfmon.exe,10fc,12e0,f,68c,ffffffffffffffff,0,0
2024-04-18 08:26:58.865375,ctfmon.exe,10fc,12e0,16,a4,7,d04616c768,4
2024-04-18 08:26:58.896774,dwm.exe,418,7b4,61,2a4,0,0,0
2024-04-18 08:26:58.927837,explorer.exe,1588,164c,1001,2ddfd08,0,0,0
2024-04-18 08:26:58.959024,explorer.exe,1588,22f8,10aa,f0550,2,0,0
2024-04-18 08:26:58.990299,explorer.exe,1588,22f8,100e,120520,a91c,0,b80ed40
2024-04-18 08:26:59.021537,explorer.exe,1588,22f8,19,ffffffffffffffff,34,b80d5f0,8
2024-04-18 08:26:59.052774,explorer.exe,1588,22f8,5,b80c3a0,18,0,b80c2f8
2024-04-18 08:26:59.084021,explorer.exe,1588,22f8,1007,e0554,20,e0566,2000001
2024-04-18 08:26:59.115253,explorer.exe,1588,22f8,5,b80c3a0,18,0,b80bec1
2024-04-18 08:26:59.146488,explorer.exe,1588,22f8,101b,c02de,5,b80e958,e0566
2024-04-18 08:26:59.177921,explorer.exe,1588,22f8,1007,e0566,20,e0566,2000001
2024-04-18 08:26:59.209067,dwm.exe,418,7cc,1335,2,0,0,1
2024-04-18 08:26:59.240246,explorer.exe,1588,22f8,100e,120520,c06d,0,21a0222
