2024-04-20 15:34:38.795848,hyperdbg-cli.e,15ac,c64,8,54,0,0,0
2024-04-20 15:34:38.795942,conhost.exe,1d00,d0c,100b,fffffffff5010a41,85000f,1ec3,f5
2024-04-20 15:34:38.827053,SearchProtocol,16c4,18c4,1d5,14,226bf6dc070,10,dd4367f6d8
2024-04-20 15:34:38.858222,SearchProtocol,16c4,18c4,1a1,14,9,dd4367f398,4
2024-04-20 15:34:38.889345,SearchIndexer.,15c0,1db8,18,ffffffffffffffff,4f89f79d60,0,4f89f79d68
2024-04-20 15:34:38.920376,SearchProtocol,16c4,1638,e,3d0,0,0,226bfd80000
2024-04-20 15:34:38.951858,WmiPrvSE.exe,e08,e14,18,ffffffffffffffff,9c71d5f0b0,0,9c71d5f0a0
2024-04-20 15:34:38.983117,SearchProtocol,16c4,1638,e,3d0,0,0,226bfd80000
2024-04-20 15:34:39.014198,SearchProtocol,16c4,1638,e,3d0,0,14,226bfd80000
2024-04-20 15:34:39.045509,SearchProtocol,16c4,1638,1486,5,dd43579a50,ffffffff,1cff
2024-04-20 15:34:39.076852,SearchIndexer.,15c0,1db8,4,468,0,0,4f89f7aab8
2024-04-20 15:34:39.107865,SearchIndexer.,15c0,1db8,a,468,1,0,187e25f0220
2024-04-20 15:34:39.139093,SearchProtocol,16c4,1638,e,3d0,0,0,226bfd80000
2024-04-20 15:34:39.170663,SearchProtocol,16c4,1638,e,3d0,0,a,0
2024-04-20 15:34:39.201533,SearchProtocol,16c4,1638,e,3d0,0,0,226bfd80000
2024-04-20 15:34:39.232921,SearchProtocol,16c4,1638,e,3d0,0,0,226bfd80000
2024-04-20 15:34:39.264310,SearchProtocol,16c4,1638,e,3d0,0,14,226bfd80000
2024-04-20 15:34:39.295264,SearchProtocol,16c4,18c4,1a1,14,9,dd4367f398,4
2024-04-20 15:34:39.326569,SearchProtocol,16c4,18c4,d,fffffffffffffffe,2c,226bf7208f8,8
2024-04-20 15:34:39.358021,SearchFilterHo,1708,1828,8c,2bc,20000,18b3fc4aea0,18b40156fb8
2024-04-20 15:34:39.389108,SearchProtocol,16c4,18c4,1d5,14,226bf6dc070,10,dd4367f6d8
2024-04-20 15:34:39.420390,SearchProtocol,16c4,18c4,d,fffffffffffffffe,2c,226bf7208f8,8
2024-04-20 15:34:39.451607,SearchProtocol,16c4,18c4,d,fffffffffffffffe,2c,dd4367f1b0,8
2024-04-20 15:34:39.482938,SearchFilterHo,1708,1828,8c,2bc,20000,18b3fc4aea0,18b40156fb8
2024-04-20 15:34:39.514267,SearchProtocol,16c4,18c4,d,fffffffffffffffe,2c,dd4367f1b0,8
2024-04-20 15:34:39.545501,SearchProtocol,16c4,18c4,1d5,14,226bf6dc070,10,dd4367f6d8
2024-04-20 15:34:39.576669,SearchFilterHo,1708,1828,8c,2bc,20000,18b3fc4aea0,18b40156fb8
2024-04-20 15:34:39.607815,SearchProtocol,16c4,1638,17,6b8,dd43578948,2,dd43578800
2024-04-20 15:34:39.639075,SearchFilterHo,1708,1828,8c,2bc,20000,18b3fc503f0,18b40156fb8
2024-04-20 15:34:39.670519,SearchProtocol,16c4,18c4,1d5,14,226bf6dc070,10,dd4367f6d8
2024-04-20 15:34:39.701752,SearchFilterHo,1708,1828,8c,2bc,20000,18b3fc503f0,18b40156fb8
2024-04-20 15:34:39.733011,SearchFilterHo,1708,1828,4,250,0,41e6f7c228,43
2024-04-20 15:34:39.764136,SearchProtocol,16c4,18c4,1a1,14,9,dd4367f398,4
2024-04-20 15:34:39.795261,SearchProtocol,16c4,18c4,1a1,14,9,dd4367f398,4
2024-04-20 15:34:39.826608,SearchFilterHo,1708,1828,4,250,0,41e6f7c228,5
2024-04-20 15:34:39.857712,SearchProtocol,16c4,18c4,d,fffffffffffffffe,2c,226bf7208f8,8
2024-04-20 15:34:39.889059,lsass.exe,2e4,388,8c,6c0,0,0,0
2024-04-20 15:34:39.920115,SearchProtocol,16c4,18c4,1a1,14,9,dd4367f398,4
2024-04-20 15:34:39.951373,SearchProtocol,16c4,18c4,d,fffffffffffffffe,2c,dd4367f1b0,8
2024-04-20 15:34:39.982749,SearchFilterHo,1708,1828,4,250,0,41e6f7c228,44
2024-04-20 15:34:40.014054,SearchFilterHo,1708,1828,4,250,0,41e6f7c228,17
2024-04-20 15:34:40.045290,SearchFilterHo,1708,1828,4,250,0,41e6f7c228,2
2024-04-20 15:34:40.076347,SearchFilterHo,1708,1828,8c,2bc,20000,18b3fc56a50,18b40156fb8
2024-04-20 15:34:40.107680,SearchProtocol,16c4,18c4,7e,40c,0,dd4367d4e8,226bf720840
2024-04-20 15:34:40.138918,SearchFilterHo,1708,1828,4,250,0,41e6f7c228,3f
2024-04-20 15:34:40.170255,SearchProtocol,16c4,18c4,d,fffffffffffffffe,2c,dd4367f1b0,8
2024-04-20 15:34:40.201512,SearchFilterHo,1708,1828,4,250,0,41e6f7c228,44
2024-04-20 15:34:40.232857,SearchProtocol,16c4,18c4,1d5,14,226bf6dc070,10,dd4367f6d8
2024-04-20 15:34:40.264100,SearchProtocol,16c4,18c4,1a1,14,9,dd4367f398,4
2024-04-20 15:34:40.295189,SearchProtocol,16c4,18c4,d,fffffffffffffffe,2c,226bf7208f8,8
2024-04-20 15:34:40.326576,SearchProtocol,16c4,18c4,1a1,14,9,dd4367f398,4
2024-04-20 15:34:40.357819,SearchFilterHo,1708,1828,4,250,0,41e6f7c228,3f
2024-04-20 15:34:40.389111,SearchFilterHo,1708,1828,4,250,0,41e6f7c228,46
2024-04-20 15:34:40.420397,SearchProtocol,16c4,18c4,1d5,14,226bf6dc070,10,dd4367f6d8
2024-04-20 15:34:40.451648,SearchProtocol,16c4,18c4,1a1,14,9,dd4367f398,4
2024-04-20 15:34:40.482887,SearchProtocol,16c4,18c4,d,fffffffffffffffe,2c,226bf7208f8,8
2024-04-20 15:34:40.513810,SearchProtocol,16c4,18c4,d,fffffffffffffffe,2c,226bf7208f8,8
2024-04-20 15:34:40.545130,SearchProtocol,16c4,18c4,1a1,14,9,dd4367f398,4
2024-04-20 15:34:40.576401,SearchProtocol,16c4,18c4,1a1,14,9,dd4367f398,4
2024-04-20 15:34:40.607673,SearchProtocol,16c4,18c4,1d5,14,226bf6dc070,10,dd4367f6d8
2024-04-20 15:34:40.638909,SearchProtocol,16c4,18c4,d,fffffffffffffffe,2c,226bf7208f8,8
2024-04-20 15:34:40.670214,SearchProtocol,16c4,18c4,1d5,14,226bf6dc070,10,dd4367f6d8
2024-04-20 15:34:40.701442,SearchFilterHo,1708,1828,4,250,0,41e6f7c028,42
2024-04-20 15:34:40.732739,SearchProtocol,16c4,18c4,d,fffffffffffffffe,2c,dd4367f1b0,8
2024-04-20 15:34:40.763941,SearchProtocol,16c4,18c4,1d5,14,226bf6dc070,10,dd4367f6d8
2024-04-20 15:34:40.795224,SearchFilterHo,1708,1828,4,250,0,41e6f7c228,45
2024-04-20 15:34:40.826422,SearchProtocol,16c4,18c4,d,fffffffffffffffe,2c,dd4367f1b0,8
2024-04-20 15:34:40.857601,SearchProtocol,16c4,1638,e,3d0,0,0,226bfd80000
2024-04-20 15:34:40.888890,SearchProtocol,16c4,18c4,d,fffffffffffffffe,2c,dd4367f1b0,8
2024-04-20 15:34:40.920099,svchost.exe,1c8,4bc,21,10a8,9,5313cff168,4
2024-04-20 15:34:40.951504,explorer.exe,1628,16d4,16,1d44,7,353f2a8,4
2024-04-20 15:34:40.982659,svchost.exe,d54,1470,1a1,1c,9,1dd467f5c8,4
2024-04-20 15:34:41.013795,SearchProtocol,16c4,18c4,d,fffffffffffffffe,2c,dd4367f1b0,8
2024-04-20 15:34:41.045134,SearchProtocol,16c4,18c4,1a1,14,9,dd4367f398,4
