2024-05-03 14:59:19.610149,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:59:19.641375,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,48a
2024-05-03 14:59:19.672742,SearchIndexer.,159c,5a4,e,994,0,0,0
2024-05-03 14:59:19.703952,dwm.exe,410,6b4,112b,4,a42fbff158,a42fbff108,a42fbff250
2024-05-03 14:59:19.735273,dwm.exe,410,6b4,13e,8e8,0,83,7ffe7000
2024-05-03 14:59:19.766288,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e3d8,0
2024-05-03 14:59:19.797566,dwm.exe,410,6b4,61,278,0,0,0
2024-05-03 14:59:19.828678,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:59:19.859909,dwm.exe,410,6b4,25,fffffffffffffffe,17,a42fbff4b0,10
2024-05-03 14:59:19.891287,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,48a
2024-05-03 14:59:19.922580,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,8000000
2024-05-03 14:59:19.953683,SearchIndexer.,159c,5a4,e,994,0,0,0
2024-05-03 14:59:19.985149,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e3d8,0
2024-05-03 14:59:20.016469,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:59:20.047532,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e3d8,0
2024-05-03 14:59:20.078626,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:59:20.112845,explorer.exe,1a8c,1940,121,d7e788,20019,d7e7a8,0
2024-05-03 14:59:20.144215,svchost.exe,1bc,166c,21,11a0,1,7c29e7df00,54
2024-05-03 14:59:20.175226,dwm.exe,410,6b4,11e8,a42fbfe440,24a5f013ed0,a42fbfe4b8,a42fbfe5c0
2024-05-03 14:59:20.206577,explorer.exe,11d4,15ac,24,fffffffffffffffe,c,1,95d7c8
2024-05-03 14:59:20.237716,svchost.exe,1bc,166c,63,23255f0d630,0,940,2000000
