Reading logs from ../logs/V1
Classifying malicious_ransomwarePOC_10min_1.log as malicious, 13383 malicious entries found
Classifying malicious_ransomwarePOC_10min.log as malicious, 14477 malicious entries found
Total number of parameter combinations: 270
Starting grid search...
Vectorizer: TfidfVectorizer, Ngram: 1, Parameters: {'n_estimators': 100, 'max_samples': 0.5, 'max_features': 0.75}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 1, Parameters: {'n_estimators': 200, 'max_samples': 1.0, 'max_features': 0.75}, F1 Score: 0.42028985507246375
Vectorizer: TfidfVectorizer, Ngram: 1, Parameters: {'n_estimators': 100, 'max_samples': 1.0, 'max_features': 0.5}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 1, Parameters: {'n_estimators': 100, 'max_samples': 1.0, 'max_features': 0.75}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 1, Parameters: {'n_estimators': 100, 'max_samples': 1.0, 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 2, Parameters: {'n_estimators': 50, 'max_samples': 'auto', 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 2, Parameters: {'n_estimators': 50, 'max_samples': 0.5, 'max_features': 1.0}, F1 Score: 0.7152317880794701
Vectorizer: TfidfVectorizer, Ngram: 1, Parameters: {'n_estimators': 200, 'max_samples': 'auto', 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 2, Parameters: {'n_estimators': 50, 'max_samples': 1.0, 'max_features': 1.0}, F1 Score: 0.0449438202247191
Vectorizer: TfidfVectorizer, Ngram: 1, Parameters: {'n_estimators': 200, 'max_samples': 'auto', 'max_features': 0.5}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 1, Parameters: {'n_estimators': 200, 'max_samples': 0.5, 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 1, Parameters: {'n_estimators': 200, 'max_samples': 1.0, 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 1, Parameters: {'n_estimators': 200, 'max_samples': 'auto', 'max_features': 0.75}, F1 Score: 0.05714285714285714
